time_period,obs_value,gdp_q_ann
2000Q1,2411110.61589388,
2000Q2,2433007.89462558,3.616332314701667
2000Q3,2449279.09671583,2.6661705647951504
2000Q4,2460961.78600268,1.903403374382243
2001Q1,2488115.13396739,4.3892824245499735
2001Q2,2489210.16180845,0.1760026188614147
2001Q3,2494431.51593567,0.8381591414943712
2001Q4,2493091.69979951,-0.21490685623864955
2002Q1,2498682.19454156,0.895953574454553
2002Q2,2510330.86202854,1.8604365138939472
2002Q3,2521825.22807797,1.8273496822057673
2002Q4,2526512.61051309,0.7428003326252849
2003Q1,2519737.79455734,-1.074036281563066
2003Q2,2521014.84374677,0.2026759586730049
2003Q3,2537393.09269934,2.5902705187278583
2003Q4,2553569.40973832,2.5419745632047386
2004Q1,2566916.20701456,2.085244018134503
2004Q2,2582918.38618062,2.4858632454180922
2004Q3,2588745.70282851,0.9014226776950219
2004Q4,2600258.20249684,1.774909985484469
2005Q1,2607195.1334873,1.0656932893933417
2005Q2,2623372.1250675,2.4742315485141377
2005Q3,2642941.71951999,2.972809461356809
2005Q4,2661218.29932471,2.7565762831092764
2006Q1,2686384.63942075,3.764905685937995
2006Q2,2715917.36599095,4.373397968263721
2006Q3,2730673.18767592,2.167353340150145
2006Q4,2762571.20856107,4.645470270094706
2007Q1,2782054.68814811,2.811163118032354
2007Q2,2800759.43005094,2.6803417052297633
2007Q3,2811542.33207832,1.5370399885646495
2007Q4,2825796.20209841,2.022784377368652
2008Q1,2843891.78745858,2.553318184381759
2008Q2,2830048.02663235,-1.9519118990672195
2008Q3,2814630.14499843,-2.1851265219768887
2008Q4,2766071.610525,-6.961097311798936
2009Q1,2681120.56842337,-12.477317115299725
2009Q2,2681271.63003126,0.022536450500425676
2009Q3,2691231.7906808,1.4831330991332567
2009Q4,2703097.37127287,1.759714599944095
2010Q1,2713460.68429447,1.5306141738829253
2010Q2,2738842.80816572,3.7242691670235923
2010Q3,2751038.46791055,1.7771866739314874
2010Q4,2767271.83281532,2.35338875081785
2011Q1,2793532.31399804,3.7779681796074343
2011Q2,2793434.5909285,-0.013993004964992
2011Q3,2793956.04293658,0.0746612569284834
2011Q4,2785304.96012845,-1.2404638874770317
2012Q1,2778587.2745469,-0.965897765440338
2012Q2,2768616.558073,-1.437946397851431
2012Q3,2764960.48405873,-0.5285658110019787
2012Q4,2753052.1299788,-1.7264726850066587
2013Q1,2743922.75178177,-1.3286415582596987
2013Q2,2761930.33104483,2.6165091151570197
2013Q3,2770069.46540818,1.1770268309017107
2013Q4,2775827.25638816,0.8305662131900456
2014Q1,2788839.76439032,1.870736440752519
2014Q2,2795420.9460591,0.9428191206578953
2014Q3,2809000.98825953,1.9384791420151888
2014Q4,2819565.08288173,1.5014988745944056
2015Q1,2840731.12040851,2.991523471200217
2015Q2,2852825.07564939,1.6993208481726232
2015Q3,2865103.46434745,1.7178819195869308
2015Q4,2879231.79884806,1.9676237325352472
2016Q1,2892933.83261689,1.8990528520009788
2016Q2,2898551.08411119,0.7759327131495048
2016Q3,2912604.8216291,1.9347290135893769
2016Q4,2934846.46639477,3.042932851683392
2017Q1,2958498.7984044,3.210734540775369
2017Q2,2978151.87428001,2.6483818912070904
2017Q3,2999971.75302695,2.9199765015323202
2017Q4,3024416.07835724,3.2460671742487115
2018Q1,3025670.9401045,0.1659297476450032
2018Q2,3041270.79323653,2.057034756212878
2018Q3,3043581.06101383,0.3037402314663941
2018Q4,3060066.80579884,2.1607779785397874
2019Q1,3081986.49470412,2.8550428844264486
2019Q2,3093197.16904126,1.4523534539205436
2019Q3,3099061.82926879,0.7576765742704711
2019Q4,3095784.23643313,-0.4232670974199675
2020Q1,2995079.91696645,-13.228139020682828
2020Q2,2662320.0479741,-47.109189414652555
2020Q3,2969764.58425252,43.71389759021186
2020Q4,2980514.95139033,1.4453611828380426
2021Q1,3004024.19566672,3.142680113487911
2021Q2,3069246.99986473,8.591786497758633
2021Q3,3123139.29383916,6.962570113471091
2021Q4,3148390.7616621,3.2211092421117944
2022Q1,3171481.73775489,2.92298034144662
2022Q2,3201176.11088037,3.727749236852182
2022Q3,3215462.16971153,1.7811298454238096
2022Q4,3213910.50623054,-0.19307183942493314
2023Q1,3213494.79831785,-0.05174192615179952
2023Q2,3219833.04030258,0.788176097283535
2023Q3,3218876.98928367,-0.11878789652501347
2023Q4,3221288.79698422,0.2995957425122423
2024Q1,3230078.88553619,1.0900130854722796
2024Q2,3237356.20811993,0.9001807424066621
2024Q3,3250479.90798832,1.6182551511296348
2024Q4,3264395.72624741,1.7088079901050175
2025Q1,3282803.39041175,2.249232056521259
2025Q2,3286977.16402646,0.5082390976860302
2025Q3,3294685.44919657,0.9369412134849495
